stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M86,M9,M96,M98
400336,E 8 ST/UNIVERSITY PL,40.731417,-73.994502,5784518538,,,,,,,,,,,,8309478878,,,,,,,,,42451674,,4320194279,,,,,8309478870,,,,
400337,E 8 ST/MERCER ST,40.730576,-73.99259,42439236,,,,,,,,,,,,8309479166,,,,8309479166,,,,,42451674,,4320194279,,,,,8309479638,,,,
400352,MADISON AV/E 30 ST,40.74551,-73.984493,42445404,,,,,,,,,,,,42445404,,,,42445404,,,,,,,,,,,,,,,,
400353,32 ST/MADISON AV,40.746522,-73.984127,,,,,,,,,,,,,,,,,,,,42445899,,,,,,,,,,,,,
400354,MADISON AV/E 34 ST,40.748328,-73.982437,42434948,,,,,,,,,,,,42434948,,,,42434948,,,42434948,,,,,,,,,,,,,
400358,MADISON AV/E 45 ST,40.755233,-73.977403,42434074,,,,,,,,,,,,42434074,,,,42434074,,,42434074,,,,,,,,,,,,,
400360,MADISON AV/E 49 ST,40.757755,-73.975576,42445928,,,,,,,,,,,,42445928,,,,42445928,,,42445928,,,,,,,,,,,,,
400361,MADISON AV/E 52 ST,40.759636,-73.974182,42436701,,,,,,,,,,,,42436701,,,,42436701,,,42436701,,,,,,,,,,,,,
400362,MADISON AV/E 55  ST,40.761509,-73.97282,42443612,,,,,,,,,,,,42443612,,,,42443612,,,42443612,,,,,,,,,,,,,
400363,MADISON AV/E 57 ST,40.762858,-73.971838,6188877020,,,,,,,,,,,,6188877020,,,,6188877020,,,6188877020,,,,,,,,,,,,,
400364,MADISON AV/E 60  ST,40.764673,-73.970473,42436511,,,,,,,,,,,,42436511,,,,42436511,,,42436511,,,,,,,,,,,,,
400390,CATHEDRAL PY/FRED DOUGLASS BL,40.80078,-73.958486,,,,,,,,,,,,,,,,,3247295579,,,3247295579,,,,,,,,,,,,,
400394,MANHATTAN AV/W 116 ST,40.804877,-73.956842,42446161,,,,,,,,3907629309,6814306896,,,,,,,6814306896,,,,,,,,,,6814306896,,,,,,
400395,MANHATTAN AV/W 119 ST,40.807171,-73.955168,,,,,,,,,,,,,,,,,42447330,,,,,,,,,,,,,,,,
400396,MANHATTAN AV/W 121 ST,40.808447,-73.954236,,,,,,,,,,,,,,,,,42445219,,,,,,,,,,,,,,,,
400398,ST NICHOLAS AV/W 127 ST,40.812206,-73.951155,,,,,,,,,,,,,,,,,42432932,,,,,,,,,,,,,,,,
400399,ST NICHOLAS AV/W 130 ST,40.814014,-73.949575,,,,,,,,,,,,,,,,,4078840307,,,,,,,,,,,,,,,,
400400,ST NICHOLAS AV/W 133 ST,40.815562,-73.948647,,,,,,,,,,,,,,,,,3579426938,,,,,,,,,,,,,,,,
400401,ST NICHOLAS AV/W 135 ST,40.81728,-73.947885,,,,,,,,,,,,,,,,,7784459434,,,,,,,,,,,,,,,,
400403,ST NICHOLAS AV/W 139 ST,40.82015,-73.946481,,,,,,,,,,,,,,,,,7784459463,,,,,,,,,,,,,,,,
400404,ST NICHOLAS AV/W 141 ST,40.821124,-73.946034,,,,,,,,,,,,,,,,,7784459412,,,,,,,,,,,,,,,,
