stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M191,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M9,M96
400352,MADISON AV/E 30 ST,40.74551,-73.984493,POINT (-73.984567 40.74554199999984),,,,,,,,,,,,,POINT (-73.984567 40.74554199999984),,,,POINT (-73.984567 40.74554199999984),,,,,,,,,,,,,,
400353,32 ST/MADISON AV,40.746522,-73.984127,,,,,,,,,,,,,,,,,,,,,POINT (-73.98410200000001 40.74655699999985),,,,,,,,,,,
400354,MADISON AV/E 34 ST,40.748328,-73.982437,POINT (-73.98251399999999 40.74836099999984),,,,,,,,,,,,,POINT (-73.98251399999999 40.74836099999984),,,,POINT (-73.98251399999999 40.74836099999984),,,POINT (-73.98251399999999 40.74836099999984),,,,,,,,,,,
400358,MADISON AV/E 45 ST,40.755233,-73.977403,POINT (-73.977476 40.75526299999986),,,,,,,,,,,,,POINT (-73.977476 40.75526299999986),,,,POINT (-73.977476 40.75526299999986),,,POINT (-73.977476 40.75526299999986),,,,,,,,,,,
400360,MADISON AV/E 49 ST,40.757755,-73.975576,POINT (-73.975647 40.75778399999982),,,,,,,,,,,,,POINT (-73.975647 40.75778399999982),,,,POINT (-73.975647 40.75778399999982),,,POINT (-73.975647 40.75778399999982),,,,,,,,,,,
400361,MADISON AV/E 52 ST,40.759636,-73.974182,POINT (-73.97426299999999 40.75966899999984),,,,,,,,,,,,,POINT (-73.97426299999999 40.75966899999984),,,,POINT (-73.97426299999999 40.75966899999984),,,POINT (-73.97426299999999 40.75966899999984),,,,,,,,,,,
400362,MADISON AV/E 55  ST,40.761509,-73.97282,POINT (-73.972893 40.76153999999983),,,,,,,,,,,,,POINT (-73.972893 40.76153999999983),,,,POINT (-73.972893 40.76153999999983),,,POINT (-73.972893 40.76153999999983),,,,,,,,,,,
400363,MADISON AV/E 57 ST,40.762858,-73.971838,POINT (-73.971914 40.76288999999985),,,,,,,,,,,,,POINT (-73.971914 40.76288999999985),,,,POINT (-73.971914 40.76288999999985),,,POINT (-73.971914 40.76288999999985),,,,,,,,,,,
400364,MADISON AV/E 60  ST,40.764673,-73.970473,POINT (-73.97058100000001 40.76471899999984),,,,,,,,,,,,,POINT (-73.97058100000001 40.76471899999984),,,,POINT (-73.97058100000001 40.76471899999984),,,POINT (-73.97058100000001 40.76471899999984),,,,,,,,,,,
400390,CATHEDRAL PY/FRED DOUGLASS BL,40.80078,-73.958486,,,,,,,,,,,,,,,,,,POINT (-73.958524 40.80071999999983),,,POINT (-73.958524 40.80071999999983),,,,,,,,,,,
400394,MANHATTAN AV/W 116 ST,40.804877,-73.956842,,,,,,,,,,POINT (-73.956906 40.80490499999983),,,,,,,,POINT (-73.956906 40.80490499999983),,,,,,,,,,POINT (-73.956906 40.80490499999983),,,,
400395,MANHATTAN AV/W 119 ST,40.807171,-73.955168,,,,,,,,,,,,,,,,,,POINT (-73.955237 40.80720199999983),,,,,,,,,,,,,,
400396,MANHATTAN AV/W 121 ST,40.808447,-73.954236,,,,,,,,,,,,,,,,,,POINT (-73.95429799999999 40.80847299999982),,,,,,,,,,,,,,
400398,ST NICHOLAS AV/W 127 ST,40.812206,-73.951155,,,,,,,,,,,,,,,,,,POINT (-73.951247 40.81225799999984),,,,,,,,,,,,,,
400399,ST NICHOLAS AV/W 130 ST,40.814014,-73.949575,,,,,,,,,,,,,,,,,,POINT (-73.949673 40.81405399999984),,,,,,,,,,,,,,
400400,ST NICHOLAS AV/W 133 ST,40.815562,-73.948647,,,,,,,,,,,,,,,,,,POINT (-73.94872100000001 40.81558199999981),,,,,,,,,,,,,,
400401,ST NICHOLAS AV/W 135 ST,40.81728,-73.947885,,,,,,,,,,,,,,,,,,POINT (-73.947925 40.81729099999983),,,,,,,,,,,,,,
400403,ST NICHOLAS AV/W 139 ST,40.82015,-73.946481,,,,,,,,,,,,,,,,,,POINT (-73.946586 40.82017799999982),,,,,,,,,,,,,,
400404,ST NICHOLAS AV/W 141 ST,40.821124,-73.946034,,,,,,,,,,,,,,,,,,POINT (-73.94611900000001 40.82116199999984),,,,,,,,,,,,,,
400405,ST NICHOLAS AV/W 144 ST,40.823278,-73.945037,,,,,,,,,,,,,,,,,,POINT (-73.94510600000001 40.82329699999983),,,,,,,,,,,,,,
400406,ST NICHOLAS AV/W 145 ST,40.824338,-73.944408,,,,,,,,,,,,,,,,,,POINT (-73.944502 40.82437799999983),,,,,,,,,,,,,,
400408,ST NICHOLAS AV/W 151 ST,40.828325,-73.942272,,,,,,,,,,,,,,,,,,POINT (-73.94237700000001 40.82834799999984),,,,,,,,,,,,,,
400409,ST NICHOLAS AV/W 153 ST,40.829645,-73.941744,,,,,,,,,,,,,,,,,,POINT (-73.94184799999999 40.82966899999986),,,,,,,,,,,,,,
400414,ST NICHOLAS AV/W 163 ST,40.837027,-73.940079,,,,,,,,,,,,,,,,,,POINT (-73.940123 40.83703199999983),,,,,,,,,,,,,,
400418,ST NICHOLAS AV/W 170 ST,40.842529,-73.938555,,,,,,,,,,,,,,,,,,POINT (-73.938641 40.84256199999984),,,,,,,,,,,,,,
400419,ST NICHOLAS AV/W 173 ST,40.844406,-73.937188,,,,,,,,,,,,,,,,,,POINT (-73.93729 40.84444899999983),,,,,,,,,,,,,,
400422,ST NICHOLAS AV/W 179 ST,40.848225,-73.934397,,,,,,,,,,,,,,,,,,POINT (-73.934501 40.84826999999984),,,,,,,,,,,,,,
400423,ST NICHOLAS AV/W 181 ST,40.849572,-73.933416,,,,,,,,,,,,,,,,,,POINT (-73.93350799999999 40.84961099999983),,,,,,,,,,,,,,
400426,ST NICHOLAS AV/W 187 ST,40.853358,-73.930644,,,,,,,,,,,,,,,,,,POINT (-73.93074399999999 40.85340099999984),,,,,,,,,,,,,,
